Type,Position,Main Hex (A2:12),Name,Position (Name),Name Hex (A2:13),Brand
PLA,1,00807665,PLA,-1,FFFFFFFF,ELEGOO
PLA,1,00807665,PLA+,0,FFFFFFFF,ELEGOO
PLA,1,00807665,PLA PRO,1,00000000,ELEGOO
PLA,1,00807665,PLA Silk,2,00010000,ELEGOO
PLA,1,00807665,PLA-CF,3,00020000,ELEGOO
PLA,1,00807665,PLA Matte,4,00030000,ELEGOO
PLA,1,00807665,PLA Wood,5,00040000,ELEGOO
PLA,1,00807665,PLA Basic,6,00050000,ELEGOO
PLA,1,00807665,Rapid PLA+,7,00060000,ELEGOO
PLA,1,00807665,PLA Marble,8,00070000,ELEGOO
PLA,1,00807665,PLA Galaxy,9,00080000,ELEGOO
PLA,1,00807665,PLA Red Copper,10,00090000,ELEGOO
PETG,2,80698471,PETG,1,01000000,ELEGOO
PETG,2,80698471,PETG-CF,2,01010000,ELEGOO
PETG,2,80698471,PETG-GF,3,01020000,ELEGOO
PETG,2,80698471,PETG PRO,4,01030000,ELEGOO
PETG,2,80698471,PETG Translucent,5,01040000,ELEGOO
PETG,2,80698471,Rapid PETG,6,01050000,ELEGOO
ABS,3,00656683,ABS,1,02000000,ELEGOO
TPU,4,00848085,TPU 95A,1,00000000,ELEGOO
TPU,4,00848085,Rapid TPU 95A,2,00010000,ELEGOO
PA,5,00008065,PA-CF,1,04000000,ELEGOO
PA,5,00008065,PAHT-CF,2,04030000,ELEGOO
CPE,6,00678069,CPE,1,05000000,ELEGOO
PC,7,00008067,PC,1,06000000,ELEGOO
PC,7,00008067,PC-FR,2,06020000,ELEGOO
PVA,8,00808665,PVA,1,07000000,ELEGOO
ASA,9,00658365,ASA,1,08000000,ELEGOO
BVOH,10,42564F48,BVOH,1,09000000,ELEGOO
EVA,11,00455641,EVA,1,0A000000,ELEGOO
HIPS,12,48495053,HIPS,1,0B000000,ELEGOO
PP,13,00005050,PP,1,0C000000,ELEGOO
PPA,14,00505041,PPA,1,0D000000,ELEGOO
PPS,15,00505053,PPS,1,0E000000,ELEGOO
PET,16,00806984,PET,1,00000000,ELEGOO
