Type,Position,Main Hex (A2:12),Name,Position (Name),Name Hex (A2:13),Brand
PLA,1,00807665,PLA,1,00000000,GENERIC
PLA,1,00807665,PLA+,2,00010000,GENERIC
PLA,1,00807665,PLA PRO,3,00020000,GENERIC
PLA,1,00807665,PLA Silk,4,00030000,GENERIC
PLA,1,00807665,PLA-CF,5,00040000,GENERIC
PLA,1,00807665,PLA Carbon,6,00050000,GENERIC
PLA,1,00807665,PLA Matte,7,00060000,GENERIC
PLA,1,00807665,PLA Fluo,8,00070000,GENERIC
PLA,1,00807665,PLA Wood,9,00080000,GENERIC
PLA,1,00807665,PLA Basic,10,00090000,GENERIC
PLA,1,00807665,Rapid PLA+,11,000A0000,GENERIC
PLA,1,00807665,PLA Marble,12,000B0000,GENERIC
PLA,1,00807665,PLA Galaxy,13,000C0000,GENERIC
PLA,1,00807665,PLA Red Copper,14,000D0000,GENERIC
PETG,2,80698471,PETG,1,01000000,GENERIC
PETG,2,80698471,PETG-CF,2,01010000,GENERIC
PETG,2,80698471,PETG-GF,3,01020000,GENERIC
PETG,2,80698471,PETG PRO,4,01030000,GENERIC
PETG,2,80698471,PETG Translucent,5,01040000,GENERIC
PETG,2,80698471,Rapid PETG,6,01050000,GENERIC
ABS,3,00656683,ABS,1,00000000,GENERIC
ABS,3,00656683,ABS-GF,2,00010000,GENERIC
ABS,3,00656683,ABS-CF,3,00020000,GENERIC
TPU,4,00848085,TPU,1,00000000,GENERIC
TPU,4,00848085,TPU 95A,2,00010000,GENERIC
TPU,4,00848085,Rapid TPU 95A,3,00020000,GENERIC
PA,5,00008065,PA,1,00000000,GENERIC
PA,5,00008065,PA-CF,2,00010000,GENERIC
PA,5,00008065,PAHT-CF,3,00020000,GENERIC
PA,5,00008065,PA6,4,00030000,GENERIC
PA,5,00008065,PA6-CF,5,00040000,GENERIC
PA,5,00008065,PA12,6,00050000,GENERIC
PA,5,00008065,PA12-CF,7,00060000,GENERIC
CPE,6,00678069,CPE,1,00000000,GENERIC
PC,7,00008067,PC,1,00000000,GENERIC
PC,7,00008067,PCTG,2,00010000,GENERIC
PC,7,00008067,PC-FR,3,00020000,GENERIC
PVA,8,00808665,PVA,1,00000000,GENERIC
ASA,9,00658365,ASA,1,00000000,GENERIC
ASA,9,00658365,ASA-CF,2,00010000,GENERIC
BVOH,10,66867972,BVOH,1,00000000,GENERIC
EVA,11,00698665,EVA,1,00000000,GENERIC
HIPS,12,72738083,HIPS,1,00000000,GENERIC
PP,13,00008080,PP,1,00000000,GENERIC
PP,13,00008080,PP-CF,2,00010000,GENERIC
PP,13,00008080,PP-GF,3,00020000,GENERIC
PPA,14,00808065,PPA,1,00000000,GENERIC
PPA,14,00808065,PPA-CF,2,00010000,GENERIC
PPA,14,00808065,PPA-GF,3,00020000,GENERIC
PPS,15,00808083,PPS,1,00000000,GENERIC
PPS,15,00808083,PPS-CF,2,00010000,GENERIC
PET,16,00806984,PET,1,00000000,GENERIC
PET,16,00806984,PET-CF,2,00010000,GENERIC
