Position,Elegoo Firmware,Elegoo Hex (A2:12),Generic Firmware (Typical),Generic Hex (A2:12),Your Printer Menu Item,Your Hex Code,Verified?,Notes
1,PLA,00807665,PLA,00807665,,,,
2,PETG,80698471,PETG,80698471,,,,
3,ABS,00656683,ABS,00656683,,,,
4,TPU,00848085,TPU,00848085,,,,
5,PA (Nylon),00008065,PA (Nylon),00008065,,,,
6,CPE,00678069,[Not available],—,,,,
7,PC,00008067,PC,00008067,,,,
8,PVA,00808665,PVA,00808665,,,,
9,ASA,00658365,ASA,00658365,,,,
10,BVOH,66867972,[Not available],—,,,,
11,EVA,00698665,EVA,00698665,,,,
12,HIPS,72738083,HIPS,72738083,,,,
13,PP,00008080,PP,00008080,,,,
14,PPA,00808065,[Not available],—,,,,
15,PPS,00808083,[Not available],—,,,,
16,PET,00806984,PET,00806984,,,,
