Position,Type,Main Hex (A2:12),Name Position,Name,Name Hex (A2:13),Description,NFC Commands
1,PLA,00807665,1,PLA,00000000,Standard Base PLA,"A2:12:00807665 A2:13:00000000"
1,PLA,00807665,2,PLA+,00010000,Toughened PLA+,"A2:12:00807665 A2:13:00010000"
1,PLA,00807665,3,Rapid PLA,00020000,High-Speed PLA,"A2:12:00807665 A2:13:00020000"
1,PLA,00807665,4,Rapid PLA+,00030000,High-Speed Toughened PLA+,"A2:12:00807665 A2:13:00030000"
1,PLA,00807665,5,PLA Matte,00040000,Low-Gloss Finish PLA,"A2:12:00807665 A2:13:00040000"
1,PLA,00807665,6,PLA Silk,00050000,High-Shine / Silk Finish,"A2:12:00807665 A2:13:00050000"
1,PLA,00807665,7,PLA-CF,00060000,Carbon Fiber Reinforced PLA,"A2:12:00807665 A2:13:00060000"
1,PLA,00807665,8,PLA Luminous,00070000,Glow-in-the-Dark PLA,"A2:12:00807665 A2:13:00070000"
1,PLA,00807665,9,PLA Wood,00080000,Wood Fiber Composite PLA,"A2:12:00807665 A2:13:00080000"
1,PLA,00807665,10,PLA Marble,00090000,Speckled / Marble Effect PLA,"A2:12:00807665 A2:13:00090000"
1,PLA,00807665,11,PLA Galaxy,000A0000,Glitter / Sparkle PLA,"A2:12:00807665 A2:13:000A0000"
1,PLA,00807665,12,PLA Dual-Color,000B0000,Co-extruded 2-Color PLA,"A2:12:00807665 A2:13:000B0000"
1,PLA,00807665,13,PLA Tri-Color,000C0000,Co-extruded 3-Color PLA,"A2:12:00807665 A2:13:000C0000"
2,PETG,80698471,1,PETG,00000000,Standard PETG,"A2:12:80698471 A2:13:00000000"
2,PETG,80698471,2,Rapid PETG,00020000,High-Speed PETG,"A2:12:80698471 A2:13:00020000"
2,PETG,80698471,3,PETG-CF,00060000,Carbon Fiber PETG,"A2:12:80698471 A2:13:00060000"
2,PETG,80698471,4,PETG-GF,000D0000,Glass Fiber PETG,"A2:12:80698471 A2:13:000D0000"
3,ABS,00656683,1,ABS,00000000,Standard ABS,"A2:12:00656683 A2:13:00000000"
3,ABS,00656683,2,ABS+,00010000,Toughened ABS+,"A2:12:00656683 A2:13:00010000"
3,ABS,00656683,3,Rapid ABS,00020000,High-Speed ABS,"A2:12:00656683 A2:13:00020000"
3,ABS,00656683,4,ABS-CF,00060000,Carbon Fiber ABS,"A2:12:00656683 A2:13:00060000"
4,TPU,00848085,1,TPU,00000000,Flexible TPU (95A),"A2:12:00848085 A2:13:00000000"
4,TPU,00848085,2,Rapid TPU,00020000,High-Flow TPU,"A2:12:00848085 A2:13:00020000"
5,PA,00008065,1,PA,00000000,Standard Polyamide,"A2:12:00008065 A2:13:00000000"
5,PA,00008065,2,PA-CF,00060000,Carbon Fiber Nylon,"A2:12:00008065 A2:13:00060000"
5,PA,00008065,3,PA-GF,000D0000,Glass Fiber Nylon,"A2:12:00008065 A2:13:000D0000"
6,CPE,00678069,1,CPE,00000000,Co-polyester,"A2:12:00678069 A2:13:00000000"
6,CPE,00678069,2,CPE-CF,00060000,Carbon Fiber CPE,"A2:12:00678069 A2:13:00060000"
7,PC,00008067,1,PC,00000000,Standard Polycarbonate,"A2:12:00008067 A2:13:00000000"
7,PC,00008067,2,PC-CF,00060000,Carbon Fiber Polycarbonate,"A2:12:00008067 A2:13:00060000"
8,PVA,00808665,1,PVA,00000000,Water-Soluble Support,"A2:12:00808665 A2:13:00000000"
9,ASA,00658365,1,ASA,00000000,Weather-Resistant ASA,"A2:12:00658365 A2:13:00000000"
9,ASA,00658365,2,Rapid ASA,00020000,High-Speed ASA,"A2:12:00658365 A2:13:00020000"
10,BVOH,66867972,1,BVOH,00000000,High-Solubility Support,"A2:12:66867972 A2:13:00000000"
11,EVA,00698665,1,EVA,00000000,Ethylene-Vinyl Acetate,"A2:12:00698665 A2:13:00000000"
12,HIPS,72738083,1,HIPS,00000000,Dissolvable Support / Model,"A2:12:72738083 A2:13:00000000"
13,PP,00008080,1,PP,00000000,Polypropylene,"A2:12:00008080 A2:13:00000000"
13,PP,00008080,2,PP-GF,000D0000,Glass Fiber Polypropylene,"A2:12:00008080 A2:13:000D0000"
14,PPA,00808065,1,PPA,00000000,High-Temp Polyphthalamide,"A2:12:00808065 A2:13:00000000"
14,PPA,00808065,2,PPA-CF,00060000,Carbon Fiber PPA,"A2:12:00808065 A2:13:00060000"
14,PPA,00808065,3,PPA-GF,000D0000,Glass Fiber PPA,"A2:12:00808065 A2:13:000D0000"
15,PPS,00808083,1,PPS,00000000,Polyphenylene Sulfide,"A2:12:00808083 A2:13:00000000"
15,PPS,00808083,2,PPS-CF,00060000,Carbon Fiber PPS,"A2:12:00808083 A2:13:00060000"
16,PET,00806984,1,PET,00000000,Polyethylene Terephthalate,"A2:12:00806984 A2:13:00000000"
16,PET,00806984,2,PET-CF,00060000,Carbon Fiber PET,"A2:12:00806984 A2:13:00060000"
